n,r2,rmse,mae,spearman,bias,method,assay_id,seed,n_cal,n_test
80,0.26723887799504586,0.8561691795767253,0.6594297294444006,0.7630108192253271,0.36503352417372176,E_pool_ridge,POOLED,20260916,25,80
32,-0.14285792303318456,0.8660262458656546,0.7285063345585414,0.31588117164202834,-0.06858822649099192,none_canonical_only,CHEMBL4123591,20260917,10,32
32,-0.0007108776126607541,0.8103809858590797,0.6591700929099029,,0.021598935669881497,cal_mean_baseline,CHEMBL4123591,20260917,10,32
32,-0.14453940304837265,0.8666631013149004,0.7294589359913417,0.31588117164202834,-0.07620903795339426,A_assay_offset,CHEMBL4123591,20260917,10,32
32,0.006824102875126914,0.8073242874187564,0.6562128382616943,0.31588117164202834,0.01738050634287039,B_assay_linear,CHEMBL4123591,20260917,10,32
32,0.02708997261172541,0.7990450620941001,0.6138426493077596,0.4867987125982248,0.15402738804243246,C_indicator_ridge,CHEMBL4123591,20260917,10,32
32,-0.1433987157344796,0.8662311205367071,0.7288238485012599,0.31588117164202834,-0.07112833803273996,D_shrunk_offset,CHEMBL4123591,20260917,10,32
32,0.026785183211204933,0.7991702131295237,0.6138370464711507,0.4867987125982248,0.1542144870223824,E_pool_ridge,CHEMBL4123591,20260917,10,32
20,-0.1746971044763561,1.1945560124261816,1.0043863642839501,0.028237951807228916,-0.12042056160560075,none_canonical_only,CHEMBL4402021,20260917,6,20
20,-0.8213028192064289,1.487423536410504,1.1104718510622995,,0.9988383905352073,cal_mean_baseline,CHEMBL4402021,20260917,6,20
20,-0.8601854730140195,1.5032170520284294,1.1136537292695483,0.028237951807228916,0.9204338924349266,A_assay_offset,CHEMBL4402021,20260917,6,20
20,-0.8227183454930824,1.4880014409063727,1.0794240303011122,0.028237951807228916,0.949549950784536,B_assay_linear,CHEMBL4402021,20260917,6,20
20,-0.4719474356307445,1.3371795312128507,1.0194833019471605,0.3550451807228916,0.8687293426454978,C_indicator_ridge,CHEMBL4402021,20260917,6,20
20,-0.17456977551691222,1.1944912699085612,0.976123862917586,0.028237951807228916,0.11977662009605941,D_shrunk_offset,CHEMBL4402021,20260917,6,20
20,-0.4621635627523468,1.332728079089148,1.015899083921953,0.3550451807228916,0.8641050474108176,E_pool_ridge,CHEMBL4402021,20260917,6,20
28,-1.601560810092784,0.942037223442635,0.7841174539834602,0.25511592387654797,0.710759569070626,none_canonical_only,CHEMBL5730715,20260917,9,28
28,-0.17386861318298497,0.6327917642220678,0.5432702387088185,,0.24353515846860155,cal_mean_baseline,CHEMBL5730715,20260917,9,28
28,-0.4322771746247558,0.6989797729131338,0.6075390436346171,0.25511592387654797,0.326064039132882,A_assay_offset,CHEMBL5730715,20260917,9,28
28,-0.1527821173369024,0.6270825103875007,0.5052853106251535,0.25511592387654797,0.2833903321245202,B_assay_linear,CHEMBL5730715,20260917,9,28
28,-0.8893587237839833,0.8028017018716797,0.6832754038398097,0.25015959146215216,0.5235218805973333,C_indicator_ridge,CHEMBL5730715,20260917,9,28
28,-1.1458245358875594,0.8555554778240922,0.7244234022409065,0.25511592387654797,0.5913714655855186,D_shrunk_offset,CHEMBL5730715,20260917,9,28
28,-0.9111158300305742,0.8074108437022474,0.6866099260871241,0.25015959146215216,0.5307888788883489,E_pool_ridge,CHEMBL5730715,20260917,9,28
80,0.14473070655694475,0.9835362452600191,0.8169402337886152,0.46945284734808046,0.19122541817692223,none_canonical_only,POOLED,20260917,25,80
80,0.15481038680983672,0.9777233898027106,0.7314305834776225,0.49461622468144384,0.343586477365765,cal_mean_baseline,POOLED,20260917,25,80
80,0.08371228725243518,1.018016601966372,0.7828356719860399,0.47713951878130373,0.31374727162388266,A_assay_offset,POOLED,20260917,25,80
80,0.15840494377476733,0.9756420656414948,0.7091910015987595,0.5136512080891139,0.3435263064768642,B_assay_linear,POOLED,20260917,25,80
80,0.1795397104653429,0.9633136454765204,0.7395542765538274,0.6212476103358088,0.4620259490874141,C_indicator_ridge,POOLED,20260917,25,80
80,0.19274612366510135,0.955529278263433,0.7891086959142178,0.5349663951309354,0.20847283276585044,D_shrunk_offset,POOLED,20260917,25,80
80,0.17979932986742142,0.9631612220725818,0.7398230636994421,0.6227447203539804,0.46348816427257955,E_pool_ridge,POOLED,20260917,25,80
32,-0.0977884097068602,0.8879771224641116,0.7105916938012147,0.35501330302573336,0.06744100154213978,none_canonical_only,CHEMBL4123591,20260918,10,32
32,-0.24829080932979375,0.9468917720079432,0.7233467107396547,,0.4223016500549801,cal_mean_baseline,CHEMBL4123591,20260918,10,32
32,-0.4327467644789904,1.0144418899187218,0.758242797434082,0.35501330302573336,0.4951133877115734,A_assay_offset,CHEMBL4123591,20260918,10,32
32,-0.2416730691732658,0.9443784911170994,0.7106637933037881,0.35501330302573336,0.43040660024457056,B_assay_linear,CHEMBL4123591,20260918,10,32
32,-0.4895831071929104,1.0343674024676148,0.7464739807433377,0.5018338866785098,0.673391282566119,C_indicator_ridge,CHEMBL4123591,20260918,10,32
32,-0.15285320309796457,0.909975001195723,0.7117996549359444,0.35501330302573336,0.20999862254433704,D_shrunk_offset,CHEMBL4123591,20260918,10,32
32,-0.47918965878733877,1.0307524773147787,0.7430813737696896,0.49963326302050076,0.6683629751282223,E_pool_ridge,CHEMBL4123591,20260918,10,32
20,-0.23581646194762174,1.1594695396338703,0.98455780183986,0.19796764668949218,-0.315370963324971,none_canonical_only,CHEMBL4402021,20260918,6,20
20,-0.003646988916718108,1.0448954758224842,0.8331494931299227,,0.06298680473380584,cal_mean_baseline,CHEMBL4402021,20260918,6,20
20,-0.14964922943761705,1.1183172709580502,0.9104967034237644,0.19796764668949218,0.07564885784202117,A_assay_offset,CHEMBL4402021,20260918,6,20
20,-0.057426142745805375,1.0725248845742235,0.8708316812413182,0.19796764668949218,0.0700005786519577,B_assay_linear,CHEMBL4402021,20260918,6,20
20,0.27015747171154914,0.891039463271855,0.6974940987288315,0.4576590463392063,0.14470775295310517,C_indicator_ridge,CHEMBL4402021,20260918,6,20
20,-0.19098194340974817,1.1382428852231126,0.962267971982285,0.19796764668949218,-0.22513573001808623,D_shrunk_offset,CHEMBL4402021,20260918,6,20
20,0.27189489305375714,0.8899782525623071,0.6973125429808457,0.4576590463392063,0.14316868949943085,E_pool_ridge,CHEMBL4402021,20260918,6,20
28,-1.2987869561730525,0.8855242013859346,0.7251318041293944,0.26854307776478736,0.6419427880266199,none_canonical_only,CHEMBL5730715,20260918,9,28
28,-0.17386861318298563,0.6327917642220678,0.5432702387088186,,0.24353515846860155,cal_mean_baseline,CHEMBL5730715,20260918,9,28
28,-0.09617990490921113,0.6114937056745932,0.5042969293755896,0.26854307776478736,0.04315071191577997,A_assay_offset,CHEMBL5730715,20260918,9,28
28,-0.05552841329432345,0.6000480614912043,0.5257987889930681,0.26854307776478736,0.1980211879573013,B_assay_linear,CHEMBL5730715,20260918,9,28
28,-0.5456931805284901,0.7261272217320239,0.5855362366346423,0.2590938625858004,0.33423598920067465,C_indicator_ridge,CHEMBL5730715,20260918,9,28
28,-0.7005931227068076,0.7616426967731299,0.6470543267465111,0.26854307776478736,0.45611076440601434,D_shrunk_offset,CHEMBL5730715,20260918,9,28
28,-0.5500485915568196,0.7271495325707639,0.5861021231321398,0.2590938625858004,0.33633756382596236,E_pool_ridge,CHEMBL5730715,20260918,9,28
